source,target,edge_type
00af4504cd311dd35e3df261b34fa49d5f182daa,8d6e57ecc6da78cc63aa76591d592650b5a24cb3,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,64e8931900fa6941d58f1172002fd0f38bc9a909,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,43b1171609d34ae727c8c788d7429a2b70f6bcef,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,91d9d1f6afebace9fc9cf24c821c28a1b24b3c11,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,3b0e175e97effee39279f7bc39fc92af6b1cc0e5,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,ee5f066fde2c9a7a75615e169322100eca65e018,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,3f6e94751255c31b675910a8621ad88f49d0cd27,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,b4f9fe7365d106c82f6333cc4c4f37722642f977,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,8144a2a93531af58c87418054380aa31d14fd763,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,70b38704da4726867e44f0bff872b5d6a06ce636,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,d6508c76b175eb9b0464822fb71d7099637ddca2,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,64a74da6e672445035635016b0ab022c7ecc0a76,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,62dbf5e9afe7ce59f0898f8aa61b1a38c057e7e9,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,001f88f4411f8465f0bd251668a585766474a2b5,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,10e427375db45790cec5b5274af5390818190981,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,1b0d7226b67c9ef3f1bdbc041134ed03d3c250c6,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,030468d6a022ae78da9e5122d8e5d65296c4d5b2,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,f07984e632809c99b9400f006c8d0e375fc09fc5,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,3c9a8d2d3dec2356d8f4191d6961210856d9f10b,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,62d36f23580ae0c822ebc7de69ae603d85441bfc,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,4e2ca28336dcbed2540b1b75c609ca833e53b2d1,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,174cd7ea3926cd04a60f3e4ef9d513f5efeaa69a,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,a1a4a9f0b845cf987394b79586dabde93c56d460,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,09210801dfaccee9e041a60d0bcdbedc8de5c3d2,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,c912ec2164b705bc594dffbc11b1ea37ceb960d6,citation
00af4504cd311dd35e3df261b34fa49d5f182daa,39888f19487cff3b12df350232ec2b2c699bbd21,citation
ddb404db413965d9a272f56205e0b342c9381c73,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
e06b3ff84ea61abc37b0dfbc2ad5d243006b3b54,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
d84ee733df95c53ec723310f739d30b595cfc89e,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
79698a23c00e130f51bda9de6188a47f2a8ee5a6,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
99f9658b77d379b740ef3839b31e70ed68c52665,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
99084d93eb9f919bf0352b16a31cecc4a2fa9b85,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
e67ce2076b1edb61228f9401bda7a0ea81f3055a,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
cc7ab47f3720f3e9f16e20972d75965bc6eee842,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
cf874fc2d4710f8b7bc9bba6e9e1d2a66d479b3d,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
036fd4bd15746b0eace341dec195c0db021db4ad,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
481b10f39fe5d8189b2da1654eabf152c63d9d10,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
c06eb1f5e672b89cae1db485be9e5878804b31c0,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
563dd34de81e2c2157b071fbd617642a9a831eed,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
684edf582adb405309c9a644cde870cd058078b1,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
d898b185a0cd83afb639d55b9dd4980288adf787,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
12cd23a7807334c915b6d18ee5e24c29ed173f62,00af4504cd311dd35e3df261b34fa49d5f182daa,citation
