author_1,author_2,weight
2681260,1680974,1
2681260,145750797,2
2681260,32673318,1
2681260,51046501,1
2681260,2305833,1
2681260,12982954,1
2681260,1644777718,1
2681260,4638038,1
2681260,2111798344,1
2681260,1720742368,1
2681260,2264281,1
2625032,34496255,1
2625032,3330620,5
2625032,40067731,1
2625032,4340071,2
2625032,49010662,1
2625032,145750797,1
2625032,3355825,1
2625032,144870370,1
2625032,2119508,1
2625032,144869685,1
2625032,2593959,1
2625032,144888963,1
34496255,3330620,1
3330620,40067731,2
3330620,4340071,2
3330620,2755746,1
3330620,46531894,1
3330620,2434415,5
3330620,32673318,5
3330620,143755814,1
3330620,144986260,1
3330620,49010662,1
3330620,145750797,3
3330620,3355825,1
3330620,144870370,1
3330620,8340752,3
3330620,3182604,1
3330620,5904913,1
3330620,47506525,4
3330620,83074638,1
3330620,4220663,2
3330620,3227745,1
3330620,2440937,1
3330620,144780631,5
3330620,1699129,5
3330620,2977883,6
3330620,50644362,1
3330620,34545557,2
3330620,32500489,1
3330620,36258317,2
3330620,6740762,2
3330620,51046501,2
3330620,2717682,1
3330620,2752437,1
3330620,2784245,1
3330620,52095247,1
3330620,34671528,1
3330620,2116570153,1
3330620,3330572,1
3330620,2296659,1
3330620,2689972,1
3330620,2061640189,1
3330620,145465762,1
3330620,5130661,1
3330620,4072958,2
3330620,143933800,1
3330620,2119508,1
3330620,144869685,1
3330620,2593959,1
3330620,144888963,4
3330620,2265261920,1
3330620,2127521774,1
3330620,2221275475,1
3330620,2253437426,1
3330620,2264982727,1
3330620,2274079747,1
3330620,1693704984,1
3330620,2250383416,1
3330620,4356605,1
3330620,1680974,6
3330620,2305833,2
3330620,40343889,4
3330620,1404680724,3
3330620,3045588,3
3330620,145477106,3
3330620,144962062,3
3330620,144366416,3
3330620,51162341,3
3330620,3478407,3
3330620,2027039786,2
3330620,2076795300,3
3330620,144194436,3
3330620,1800611,3
3330620,72206323,3
3330620,5065300,3
3330620,2057855350,1
3330620,144177691,3
3330620,3672819,3
3330620,26296723,3
3330620,1400039686,3
3330620,2217056,3
3330620,3884930,3
3330620,3824439,3
3330620,4734000,3
3330620,144925805,3
3330620,4584073,3
3330620,2133441,3
3330620,2053788,3
3330620,144531937,4
3330620,2057963931,3
3330620,2727421,3
3330620,6345561,3
3330620,49884429,1
3330620,1400064324,3
3330620,1403065074,3
3330620,1519065470,3
3330620,6267984,3
3330620,1740478,3
3330620,145103235,3
3330620,2325091,3
3330620,16409122,3
3330620,6680713,2
3330620,6168668,3
3330620,3487588,3
3330620,50278866,3
3330620,6270719,3
3330620,32692498,3
3330620,145966661,3
3330620,145441033,3
3330620,5145782,3
3330620,2941320,3
3330620,5658685,3
3330620,2816711,3
3330620,4638038,4
3330620,145811086,4
3330620,3411427,3
3330620,145363223,3
3330620,143734722,3
3330620,4172366,3
3330620,6016393,1
3330620,87456976,2
3330620,2115738226,1
3330620,144822194,1
3330620,84231367,1
3330620,51410607,1
3330620,3340173,1
3330620,2125515064,2
3330620,2075447262,1
3330620,1931199,1
3330620,5125984,1
3330620,2148236464,2
3330620,144810332,1
3330620,2088421666,1
3330620,3849962,1
3330620,2986562,1
3330620,14402273,1
3330620,1485070503,1
3330620,152667721,1
3330620,6148614,1
3330620,145917686,1
3330620,1883217,1
3330620,2334548161,1
3330620,143850477,1
3330620,1902861,1
3330620,3106341,1
3330620,2136876953,1
