author_norm,person_id,person_display_name,name_variants,component_size,is_reconciled_merge
bacig|c,person:cole bacig,Cole Bacig,Cole Bacig,1,False
bacik|k,person:k bacik,K. Bacik,K. Bacik,1,False
backer|jd,person:jean francois de backer,Jean‐François De Backer,Jean‐François De Backer,1,False
badalamente|g,person:griffin badalamente,Griffin Badalamente,Griffin Badalamente,1,False
badea|a,person:alexandra badea,Alexandra Badea,Alexandra Badea,1,False
baden|a,person:alex baden,Alex Baden,Alex Baden,1,False
baden|t,person:t baden,T. Baden,T. Baden,1,False
bader|da,person:david bader,David A. Bader,David A. Bader,1,False
bader|g,person:gary bader,Gary D. Bader,Gary Bader; Gary D. Bader,2,True
bader|gd,person:gary bader,Gary D. Bader,Gary Bader; Gary D. Bader,2,True
badhwar|a,person:a badhwar,A. Badhwar,A. Badhwar,1,False
badhwar|r,person:r badhwar,R. Badhwar,R. Badhwar,1,False
badkoobehi|a,person:ali badkoobehi,Ali Badkoobehi,Ali Badkoobehi,1,False
badts|cd,person:claire helene de badts,Claire-Hélène de Badts,Claire-Hélène de Badts,1,False
baek|s,person:soonbong baek,Soonbong Baek,Soonbong Baek,1,False
baena|v,person:valentina baena,Valentina Baena,V. Baena; Valentina Baena,1,False
bae|j,person:j bae,J. Bae,J. Bae,1,False
bae|ja,person:j alexander bae,J. Alexander Bae,J. Alexander Bae,1,False
bagchi|s,person:sounak bagchi,Sounak Bagchi,Sounak Bagchi,1,False
bagler|g,person:ganesh bagler,Ganesh Bagler,Ganesh Bagler,1,False
bagot|r,person:r bagot,R. Bagot,R. Bagot,1,False
bahl|a,person:a bahl,A. Bahl,A. Bahl,1,False
bahna|fa,person:fabiana bahna,Fabiana A. Bahna,Fabiana A. Bahna,1,False
bahn|s,person:sang kyu bahn,Sang-kyu Bahn,Sang-kyu Bahn; Sangkyu Bahn,1,False
baier|h,person:herwig baier,Herwig Baier,H. Baier; Herwig Baier,1,False
bailey|d,person:dennis bailey,Dennis Bailey,Dennis Bailey,1,False
bailey|l,person:luke bailey,Luke Bailey,Luke Bailey,1,False
bailey|s,person:shanice bailey,Shanice Bailey,Shanice Bailey,1,False
bailoni|a,person:alberto bailoni,Alberto Bailoni,Alberto Bailoni,1,False
bainbridge|c,person:chance bainbridge,Chance Bainbridge,Chance Bainbridge,1,False
baines|r,person:r baines,R. Baines,R. Baines,1,False
bai|h,person:hua bai,Hua Bai,Hua Bai,1,False
bajaj|c,person:c bajaj,C. Bajaj,C. Bajaj,1,False
bakal|j,person:j bakal,J. Bakal,J. Bakal,1,False
baker|c,person:cody baker,Cody Baker,Cody Baker,1,False
baker|ca,person:christopher baker,Christopher A. Baker,Christa A Baker; Christa A. Baker; Christopher A. Baker,1,False
baker|dl,person:donovan baker,Donovan L. Baker,Donovan L. Baker,1,False
baker|g,person:g baker,G. Baker,G. Baker,1,False
bakker|r,person:rembrandt bakker,Rembrandt Bakker,Rembrandt Bakker,1,False
balaji|v,person:vishnu balaji,Vishnu Balaji,Vishnu Balaji,1,False
balaram|p,person:pooja balaram,Pooja Balaram,Pooja Balaram,1,False
balavoine|g,person:g balavoine,G. Balavoine,G. Balavoine,1,False
balbastre|y,person:yael balbastre,Yaël Balbastre,Yaël Balbastre,1,False
baldridge|a,person:a baldridge,A. Baldridge,A. Baldridge,1,False
baldwin|p,person:p baldwin,P. Baldwin,P. Baldwin,1,False
balia|m,person:m balia,M. Balia,M. Balia,1,False
bali|a,person:aditya bali,Aditya Bali,Aditya Bali,1,False
balke|j,person:jana balke,Jana Balke,Jana Balke,1,False
ballinger|s,person:samantha ballinger,Samantha Ballinger,Samantha Ballinger,1,False
ballotta|d,person:daniela ballotta,Daniela Ballotta,Daniela Ballotta,1,False
ballé|j,person:johannes balle,Johannes Ballé,Johannes Ballé,1,False
balseiro-gómez|s,person:s balseiro gomez,S. Balseiro-Gómez,S. Balseiro-Gómez,1,False
balshayi|y,person:yuval balshayi,Yuval Balshayi,Yuval Balshayi,1,False
banasr|m,person:m banasr,M. Banasr,M. Banasr,1,False
banc-flywire|t,person:the banc flywire,The BANC-FlyWire,The BANC-FlyWire,1,False
bandow|p,person:p bandow,P. Bandow,P. Bandow,1,False
bando|y,person:yosuke bando,Yosuke Bando,Yosuke Bando,1,False
bandrowski|a,person:a bandrowski,A. Bandrowski,A. Bandrowski,1,False
banerjee|a,person:amitava banerjee,Amitava Banerjee,Amitava Banerjee,1,False
banghart|m,person:mark banghart,Mark Banghart,Mark Banghart,1,False
bao|j,person:j bao,J. Bao,J. Bao,1,False
bao|y,person:yujin bao,Yujin Bao,Yujin Bao,1,False
baptiste|m,person:mahaly baptiste,Mahaly Baptiste,Mahaly Baptiste,1,False
barabási|a,person:albert laszlo barabasi,Albert-László Barabási,A. Barabási; Albert-László Barabási,1,False
barabási|dl,person:daniel barabasi,Dániel L. Barabási,Dániel L. Barabási,1,False
barahona|m,person:mauricio barahona,Mauricio Barahona,Mauricio Barahona,1,False
barajas|r,person:r barajas,R. Barajas,R. Barajas,1,False
barber|af,person:annika barber,Annika F. Barber,Annika F. Barber,1,False
barch|d,person:d barch,D. Barch,D. Barch,1,False
bardi|e,person:elisa bardi,Elisa Bardi,Elisa Bardi,1,False
bardozzo|f,person:francesco bardozzo,Francesco Bardozzo,Francesco Bardozzo,1,False
bargeron|b,person:benjamin bargeron,Benjamin Bargeron,Benjamin Bargeron,1,False
bargmann|c,person:cori bargmann,Cori Bargmann,Cori Bargmann,1,False
barnea|g,person:g barnea,G. Barnea,G. Barnea,1,False
barnes|cl,person:c barnes,C. L. Barnes,C. L. Barnes,1,False
barranca|vj,person:victor barranca,Victor J. Barranca,Victor J. Barranca,1,False
barrantes|fj,person:francisco barrantes,Francisco J. Barrantes,Francisco J. Barrantes,1,False
barres|b,person:b barres,B. Barres,B. Barres,1,False
barrett|a,person:alec barrett,Alec Barrett,Alec Barrett,1,False
barrett|lf,person:l barrett,L. F. Barrett,L. F. Barrett,1,False
barrios|jp,person:joshua barrios,Joshua P. Barrios,Joshua P. Barrios,1,False
barros-zulaica|n,person:natali barros zulaica,Natalí Barros-Zulaica,Natalí Barros-Zulaica,1,False
barry|j,person:joshua barry,Joshua Barry,Joshua Barry,1,False
barsotti|e,person:e barsotti,E. Barsotti,E. Barsotti,1,False
barth-maron|a,person:a barth maron,A. Barth-Maron,A. Barth-Maron,1,False
barth|al,person:alison barth,Alison L. Barth,Alison L. Barth,1,False
bartolini|d,person:d bartolini,D. Bartolini,D. Bartolini,1,False
bartol|t,person:t bartol,T. Bartol,T. Bartol,1,False
bartram|j,person:julian bartram,Julian Bartram,Julian Bartram,1,False
baruah|a,person:akira baruah,Akira Baruah,Akira Baruah,1,False
baruch|l,person:leehod baruch,Leehod Baruch,Leehod Baruch,1,False
barzel|b,person:b barzel,B. Barzel,B. Barzel,1,False
basavaraju|m,person:manasa basavaraju,Manasa Basavaraju,Manasa Basavaraju,1,False
bascom|b,person:brooke bascom,Brooke Bascom,Brooke Bascom,1,False
bascones|s,person:sabrina bascones,Sabrina Bascones,Sabrina Bascones,1,False
basham|m,person:mark basham,Mark Basham,Mark Basham,1,False
